,Player,Year Drafted,Pick,Height,Wingspan,Vertical,Weight,Body Fat,Bench,Agility,Sprint
250,Peyton Siva,2013,56,73.0,75.0,41.5,181.0,6.1,15.0,10.59,3.16
251,Deshaun Thomas,2013,58,79.0,82.0,32.0,220.0,9.1,5.0,12.94,3.53
252,Nerlens Noel,2013,6,83.75,87.75,,206.0,4.2,,,
253,Ben McLemore,2013,7,76.75,79.75,42.0,189.0,5.0,6.0,11.87,3.27
254,Kentavious Caldwell-Pope,2013,8,77.5,80.0,34.5,204.0,6.5,7.0,10.6,3.12
255,Trey Burke,2013,9,73.25,77.5,36.5,187.0,6.9,3.0,11.2,3.16
256,Adonis Thomas,2013,,77.75,85.0,40.5,232.0,7.5,13.0,11.66,3.32
257,B.J. Young,2013,,75.5,80.25,,179.0,4.7,,,
258,Brandon Davies,2013,,82.25,85.5,31.5,242.0,8.6,7.0,11.22,3.5
259,Brandon Paul,2013,,76.0,82.25,39.5,201.0,5.3,15.0,11.16,3.37
260,C.J. Leslie,2013,,80.75,86.25,40.5,209.0,8.0,,10.19,3.1
261,DeWayne Dedmon,2013,,83.5,88.0,32.5,239.0,8.4,8.0,12.75,3.4
262,Jackie Carmichael,2013,,81.0,85.5,32.0,241.0,5.8,13.0,11.83,3.35
263,James Southerland,2013,,80.0,85.0,32.0,221.0,8.1,5.0,10.9,3.38
264,Kenny Kadji,2013,,82.0,87.0,38.0,242.0,7.5,9.0,11.47,3.44
265,Myck Kabongo,2013,,74.75,78.25,33.5,180.0,6.0,2.0,10.64,3.34
266,Norvel Pelle,2013,,82.5,86.5,34.5,207.0,5.2,,11.49,3.32
267,Phil Pressey,2013,,71.5,74.25,38.5,177.0,4.7,7.0,10.86,3.13
268,Richard Howell,2013,,79.5,82.25,,250.0,8.8,,,
269,Robert Covington,2013,,79.5,85.75,36.0,209.0,4.7,9.0,11.69,3.34
270,Seth Curry,2013,,75.0,76.0,,179.0,9.6,,,
271,Trevor Mbakwe,2013,,80.0,88.0,36.5,236.0,5.9,21.0,12.01,3.32
272,Vander Blue,2013,,77.25,78.0,37.5,197.0,4.6,4.0,10.4,3.14
273,Will Clyburn,2013,,79.0,84.25,34.5,210.0,6.9,3.0,11.68,3.38
274,Elfrid Payton,2014,10,75.75,80.0,35.5,185.0,5.7,,11.06,3.23
275,Doug McDermott,2014,11,79.75,81.25,36.5,218.0,7.1,,11.1,3.29
276,Zach LaVine,2014,13,77.75,80.25,41.5,181.0,4.7,,10.42,3.19
277,T.J. Warren,2014,14,80.25,82.25,35.5,220.0,8.0,,11.1,3.26
278,Adreian Payne,2014,15,81.75,88.0,,239.0,7.6,,,
279,James Young,2014,17,78.75,84.0,35.5,213.0,5.1,,,
280,Tyler Ennis,2014,18,74.5,79.25,36.0,182.0,6.2,,11.12,3.3
281,Gary Harris,2014,19,76.5,78.75,,205.0,4.6,,,
282,Jordan Adams,2014,22,76.75,82.0,29.5,209.0,10.8,,12.13,3.5
283,Rodney Hood,2014,23,80.5,80.5,36.0,208.0,7.5,,11.21,3.38
284,Shabazz Napier,2014,24,73.0,75.25,37.5,175.0,7.4,,11.6,3.2
285,P.J. Hairston,2014,26,77.25,81.0,37.0,229.0,8.2,,11.12,3.32
286,C.J. Wilcox,2014,28,77.0,81.75,37.5,201.0,6.5,,11.3,3.22
287,Kyle Anderson,2014,30,80.5,86.75,,230.0,13.4,,,
288,K.J. McDaniels,2014,32,78.0,83.25,37.0,196.0,4.5,,12.71,3.1
289,Joe Harris,2014,33,78.25,78.0,33.5,215.0,6.2,,11.11,3.31
290,Cleanthony Early,2014,34,79.25,82.75,40.0,209.0,4.5,,11.15,3.18
291,Jarnell Stokes,2014,35,80.5,85.25,36.0,263.0,8.2,,11.92,3.26
292,Johnny O'Bryant,2014,36,80.5,86.25,35.5,257.0,10.8,,11.57,3.45
293,DeAndre Daniels,2014,37,80.5,86.0,32.0,196.0,3.9,,11.46,3.44
294,Spencer Dinwiddie,2014,38,78.0,80.25,,205.0,5.4,,,
295,Jerami Grant,2014,39,79.75,86.75,,214.0,3.8,,,
296,Aaron Gordon,2014,4,80.75,83.75,39.0,220.0,5.1,,10.81,3.27
297,Glenn Robinson,2014,40,78.75,82.0,41.5,211.0,5.1,,11.22,3.15
298,Nick Johnson,2014,42,75.0,79.25,41.5,198.0,6.1,,10.8,3.27
299,Markel Brown,2014,44,75.5,80.75,43.5,184.0,4.2,,12.62,3.18
300,Dwight Powell,2014,45,83.0,84.5,35.0,234.0,6.2,,11.28,3.2
301,Jordan Clarkson,2014,46,77.0,80.0,38.5,186.0,4.3,,10.76,3.28
302,Russ Smith,2014,47,72.75,75.5,34.0,160.0,3.5,,11.57,3.27
303,Lamar Patterson,2014,48,77.25,83.0,32.5,226.0,10.8,,11.63,3.45
304,Cameron Bairstow,2014,49,81.75,84.75,33.5,252.0,8.7,,11.39,3.37
305,Dante Exum,2014,5,78.0,81.5,34.5,196.0,6.4,,10.75,3.19
306,Alec Brown,2014,50,85.25,85.5,30.0,231.0,7.7,,12.05,3.48
307,Thanasis Antetokounmpo,2014,51,78.25,84.0,39.5,205.0,6.1,,11.39,3.18
308,Semaj Christon,2014,55,75.25,78.5,36.5,186.0,5.3,,11.55,3.32
309,Devyn Marble,2014,56,78.5,81.0,35.0,192.0,6.9,,11.32,3.28
310,Jordan McRae,2014,58,77.25,84.5,34.5,179.0,5.2,,11.07,3.39
311,Xavier Thames,2014,59,75.5,76.0,32.5,187.0,6.4,,11.48,3.48
312,Marcus Smart,2014,6,75.25,81.25,36.0,227.0,10.6,,10.82,3.26
313,Cory Jefferson,2014,60,81.0,84.5,37.5,218.0,5.3,,12.63,3.36
314,Julius Randle,2014,7,81.0,84.0,35.5,250.0,9.4,,11.45,3.27
315,Nik Stauskas,2014,8,78.5,79.75,35.5,207.0,12.1,,10.79,3.27
316,Noah Vonleh,2014,9,81.5,88.25,37.0,247.0,7.3,,11.45,3.28
317,Aaron Craft,2014,,73.75,74.0,32.0,192.0,6.1,,10.78,3.26
318,Alex Kirk,2014,,82.75,87.5,31.5,252.0,13.6,,11.2,3.48
319,C.J. Fair,2014,,80.0,81.5,35.0,218.0,5.1,,11.0,3.32
320,DeAndre Kane,2014,,76.5,80.0,35.5,200.0,5.0,,10.95,3.16
321,Deonte Burton,2014,,73.25,79.0,39.5,193.0,7.7,,11.28,3.28
322,Isaiah Austin,2014,,84.5,88.5,29.5,220.0,7.5,,11.0,3.55
323,Jabari Brown,2014,,76.25,80.25,32.0,202.0,6.1,,11.6,3.5
324,Jahii Carson,2014,,71.0,74.0,43.5,180.0,6.5,,11.26,3.24
325,James McAdoo,2014,,80.75,86.25,34.0,228.0,6.2,,11.61,3.28
326,Jordan Bachynski,2014,,86.0,88.0,33.0,254.0,7.5,,12.15,3.36
327,Kendall Williams,2014,,75.75,77.5,33.0,183.0,7.2,,10.83,
328,Khem Birch,2014,,81.25,85.0,35.5,209.0,6.0,,11.6,3.26
329,LaQuinton Ross,2014,,79.5,85.75,31.0,239.0,16.3,,11.97,3.44
330,Melvin Ejim,2014,,79.0,83.25,35.0,219.0,6.5,,11.55,3.14
331,Patric Young,2014,,82.0,85.75,37.5,247.0,5.5,,11.18,3.43
332,Sean Kilpatrick,2014,,76.25,79.0,,219.0,9.2,,,
333,Justise Winslow,2015,10,78.5,82.25,,222.0,5.3,,,
334,Myles Turner,2015,11,83.5,88.0,,239.0,9.3,,,
335,Trey Lyles,2015,12,82.25,85.5,,241.0,12.1,,,
336,Devin Booker,2015,13,77.75,80.25,34.5,206.0,8.3,8.0,10.22,3.28
337,Cameron Payne,2015,14,73.5,79.25,35.5,183.0,6.3,,10.89,3.28
338,Kelly Oubre,2015,15,78.75,86.25,37.0,203.0,5.7,7.0,11.1,3.32
339,Terry Rozier,2015,16,74.25,80.25,38.0,190.0,5.6,7.0,10.88,3.15
340,Rashad Vaughn,2015,17,77.0,79.0,34.0,199.0,6.2,5.0,11.41,3.21
341,Sam Dekker,2015,18,81.0,83.5,34.5,219.0,7.5,5.0,10.71,3.28
342,Jerian Grant,2015,19,76.25,79.5,,198.0,5.6,,,
343,D'Angelo Russell,2015,2,77.0,81.75,,193.0,8.3,,,
344,Delon Wright,2015,20,77.5,79.5,31.0,181.0,6.6,4.0,11.21,3.29
345,Justin Anderson,2015,21,78.25,83.75,43.0,231.0,5.0,12.0,11.1,3.22
346,Bobby Portis,2015,22,82.5,86.0,31.5,246.0,8.9,5.0,11.71,3.56
347,Rondae Hollis-Jefferson,2015,23,79.0,86.0,38.0,211.0,5.0,13.0,10.51,3.12
348,Tyus Jones,2015,24,74.0,77.0,32.5,185.0,6.5,2.0,11.89,3.32
349,Jarell Martin,2015,25,81.25,81.75,34.5,239.0,10.1,19.0,11.12,3.27
350,Larry Nance,2015,27,80.5,85.5,37.5,227.0,6.4,10.0,10.89,3.25
351,R.J. Hunter,2015,28,78.0,82.5,33.5,185.0,6.0,1.0,10.97,3.26
352,Chris McCullough,2015,29,81.0,87.25,,199.0,6.2,,,
353,Kevon Looney,2015,30,81.25,87.5,,222.0,11.9,,,
354,Montrezl Harrell,2015,32,79.5,88.25,,253.0,11.9,,,
355,Jordan Mickey,2015,33,80.25,87.25,37.5,238.0,7.2,9.0,11.8,3.28
356,Anthony Brown,2015,34,80.5,83.25,34.5,211.0,6.1,4.0,11.06,3.18
357,Rakeem Christmas,2015,36,81.75,89.25,,243.0,9.6,9.0,11.57,3.47
358,Richaun Holmes,2015,37,81.5,85.5,36.0,243.0,8.8,15.0,11.37,3.32
359,Pat Connaughton,2015,41,77.25,80.75,44.0,215.0,10.2,13.0,10.74,3.2
360,Olivier Hanlan,2015,42,76.25,78.5,34.0,186.0,4.3,19.0,11.36,3.25
361,Joseph Young,2015,43,74.0,77.0,40.5,182.0,4.1,9.0,10.74,3.25
362,Andrew Harrison,2015,44,77.5,81.0,33.0,213.0,5.9,,11.16,3.34
363,Marcus Thornton,2015,45,74.75,79.75,43.0,177.0,5.3,3.0,10.96,3.02
364,Norman Powell,2015,46,76.25,82.75,40.5,215.0,6.4,5.0,10.76,3.2
365,Dakari Johnson,2015,48,83.75,86.0,25.0,265.0,14.9,4.0,11.5,3.62
366,Aaron White,2015,49,80.75,83.5,35.0,220.0,8.0,7.0,11.62,3.38
367,Tyler Harvey,2015,51,76.0,77.5,28.5,181.0,9.2,1.0,10.52,3.44
368,Branden Dawson,2015,56,78.75,83.0,34.5,230.0,5.8,12.0,12.37,3.2
369,J.P. Tokoto,2015,58,78.25,82.0,40.0,196.0,4.1,12.0,11.01,3.27
370,Willie Cauley-Stein,2015,6,84.5,87.0,,242.0,6.3,,,
371,Stanley Johnson,2015,8,78.5,83.5,,242.0,7.5,,,
372,Frank Kaminsky,2015,9,84.75,83.0,,231.0,9.4,,,
373,Aaron Harrison,2015,,78.0,80.25,34.5,209.0,6.0,1.0,,3.27
374,Alan Williams,2015,,80.25,85.75,28.5,261.0,12.0,8.0,12.07,3.5
375,Brandon Ashley,2015,,80.5,87.25,35.5,228.0,8.8,9.0,11.3,3.58
376,Chasson Randle,2015,,73.5,79.0,39.5,179.0,4.5,6.0,10.61,3.2
377,Chris Walker,2015,,81.25,86.75,37.0,208.0,5.1,6.0,11.32,3.35
378,Christian Wood,2015,,82.5,87.25,,216.0,14.7,,,
379,Cliff Alexander,2015,,80.5,87.5,,239.0,5.8,,,
380,Corey Hawkins,2015,,73.75,80.0,34.0,192.0,5.5,9.0,10.97,3.51
381,Dez Wells,2015,,76.0,81.5,39.0,209.0,8.1,15.0,10.75,3.2
382,George De Paula,2015,,77.5,84.0,34.0,197.0,6.7,6.0,11.38,3.45
383,Jonathan Holmes,2015,,81.25,83.5,31.0,242.0,7.2,,10.97,3.51
384,Keifer Sykes,2015,,71.75,74.0,43.0,167.0,5.0,8.0,10.5,3.13
385,Michael Frazier,2015,,76.25,80.0,35.0,199.0,7.4,10.0,10.8,3.32
386,Michael Qualls,2015,,77.0,84.25,39.5,201.0,4.0,9.0,11.88,
387,Mouhammadou Jaiteh,2015,,82.5,87.25,31.5,247.0,9.9,7.0,12.05,3.38
388,Quinn Cook,2015,,74.0,76.0,31.0,179.0,6.7,14.0,11.28,3.38
389,Robert Upshaw,2015,,84.0,89.5,,258.0,12.5,,,
390,Ryan Boatright,2015,,71.0,72.5,41.0,170.0,6.6,10.0,10.79,3.26
391,T.J. McConnell,2015,,74.0,74.0,31.5,188.0,7.3,7.0,10.84,3.3
392,TaShawn Thomas,2015,,80.0,86.0,30.5,240.0,12.4,9.0,11.69,3.47
393,Terran Petteway,2015,,78.0,83.25,31.0,209.0,4.9,15.0,10.96,3.32
394,Treveon Graham,2015,,77.75,82.5,31.5,219.0,5.5,11.0,11.6,3.3
395,Vince Hunter,2015,,79.5,83.0,37.5,208.0,4.6,13.0,11.33,3.26
396,Thon Maker,2016,10,84.75,87.0,36.5,216.0,6.1,,11.15,3.33
397,Taurean Prince,2016,12,79.75,83.5,36.0,220.0,6.5,,10.96,3.24
398,Denzel Valentine,2016,14,77.75,82.75,32.0,210.0,9.2,,10.51,3.46
399,Justin Jackson,2016,15,80.25,82.75,34.5,193.0,7.6,,11.32,3.26
400,Wade Baldwin,2016,17,76.0,83.25,38.0,202.0,5.2,,10.45,3.19
401,Henry Ellenson,2016,18,83.5,86.25,,242.0,11.2,,,
402,Malik Beasley,2016,19,76.5,79.0,,190.0,6.9,,,
403,Caris LeVert,2016,20,79.0,82.0,,191.0,7.6,,,
404,DeAndre Bembry,2016,21,77.75,81.25,38.0,207.0,7.0,,10.9,3.17
405,Malachi Richardson,2016,22,78.25,84.0,38.0,200.0,7.0,,10.56,3.33
406,Brice Johnson,2016,25,82.5,84.5,38.0,209.0,7.5,,11.88,3.2
407,Caleb Swanigan,2016,26,80.5,87.5,29.0,247.0,12.6,,12.8,
408,Pascal Siakam,2016,27,81.5,87.25,36.5,227.0,5.2,,11.25,3.41
409,Skal Labissiere,2016,28,83.75,86.5,,216.0,5.7,,,
410,Jaylen Brown,2016,3,78.75,83.75,,223.0,5.1,,,
411,Damian Jones,2016,30,83.5,87.75,37.0,244.0,6.6,,11.35,3.2
412,Josh Hart,2016,30,77.5,80.5,38.5,204.0,5.8,,11.15,3.2
413,Deyonta Davis,2016,31,82.5,86.5,,237.0,9.7,,,
414,Cheick Diallo,2016,33,81.0,88.5,35.0,219.0,5.6,,11.24,3.26
415,Tyler Ulis,2016,34,70.0,74.0,38.0,149.0,5.2,,10.8,3.2
416,Malcolm Brogdon,2016,36,77.5,82.5,35.5,223.0,5.4,,10.77,3.31
417,Chinanu Onuaku,2016,37,82.0,86.75,33.5,245.0,8.6,,11.65,3.5
418,Patrick McCaw,2016,38,78.75,82.0,38.0,181.0,4.7,,11.01,3.3
419,Diamond Stone,2016,40,82.25,86.75,29.5,254.0,12.9,,12.02,3.5
420,Stephen Zimmerman,2016,41,83.75,87.25,31.0,234.0,11.2,,12.08,3.43
421,Isaiah Whitehead,2016,42,76.5,80.75,35.5,210.0,9.3,,11.65,3.34
422,Zhou Qi,2016,43,86.25,91.75,32.0,218.0,4.9,,11.27,3.46
423,Demetrius Jackson,2016,45,73.25,77.5,43.5,194.0,6.5,,10.81,3.25
424,Jake Layman,2016,47,81.25,81.25,39.5,209.0,7.1,,11.35,3.24
425,Michael Gbinije,2016,49,78.75,79.5,37.5,205.0,5.4,,11.0,3.12
426,Kris Dunn,2016,5,76.25,81.5,,,,,,
427,Georges Niang,2016,50,80.5,82.0,31.0,231.0,10.1,,11.64,3.49
428,Ben Bentil,2016,51,80.25,85.5,33.0,229.0,9.7,,11.16,3.3
429,Joel Bolomboy,2016,52,81.0,85.75,40.5,224.0,5.2,,10.26,3.17
430,Kay Felder,2016,54,69.5,74.5,44.0,177.0,5.8,,11.52,3.15
431,Marcus Paige,2016,55,73.75,78.25,39.5,164.0,4.3,,10.82,3.15
432,Daniel Hamilton,2016,56,80.0,81.0,29.0,197.0,6.0,,11.48,3.4
433,Isaiah Cousins,2016,59,76.5,78.25,37.0,194.0,4.8,,10.79,3.24
434,Jaron Blossomgame,2016,59,79.25,82.0,41.0,214.0,5.3,,11.53,3.2
435,Buddy Hield,2016,6,77.0,81.25,,212.0,6.1,,,
436,Marquese Chriss,2016,8,82.0,84.25,38.5,233.0,8.5,,11.93,3.26
437,Jakob Poeltl,2016,9,85.0,86.75,,239.0,5.8,,,
438,A.J. English,2016,,75.0,82.0,35.5,182.0,5.3,,12.27,3.28
439,Cat Barber,2016,,74.75,77.5,,173.0,4.5,,,
440,Dedric Lawson,2016,,80.0,86.5,28.0,225.0,11.1,,12.48,3.65
441,Dorian Finney-Smith,2016,,79.75,83.75,35.5,213.0,6.5,,11.01,3.27
442,Elgin Cook,2016,,78.25,82.0,,210.0,6.4,,,
443,Gary Payton II,2016,,75.0,80.0,38.5,184.0,4.0,,11.57,3.23
444,Isaiah Miles,2016,,79.75,82.5,31.5,220.0,9.6,,11.76,3.39
445,Jarrod Uthoff,2016,,81.75,83.5,34.5,214.0,6.0,,11.52,3.5
446,Kyle Wiltjer,2016,,82.0,84.25,35.5,243.0,15.3,,11.35,3.48
447,Malik Newman,2016,,75.5,77.75,35.5,182.0,5.6,,10.88,3.28
448,Marcus Lee,2016,,82.25,87.0,35.5,211.0,5.4,,11.68,3.25
449,Melo Trimble,2016,,74.5,74.0,35.5,192.0,8.4,,10.57,3.2
450,Nigel Hayes,2016,,79.25,87.0,28.5,245.0,10.9,,12.11,3.2
451,Perry Ellis,2016,,80.25,82.25,38.0,218.0,4.6,,10.73,3.13
452,Robert Carter,2016,,80.5,87.25,30.5,251.0,12.5,,11.97,3.65
453,Ron Baker,2016,,76.25,81.75,35.5,212.0,7.9,,10.77,3.45
454,Sheldon McClellan,2016,,78.25,79.0,41.5,198.0,4.8,,10.45,3.26
455,Troy Williams,2016,,78.75,80.25,36.0,218.0,10.0,,10.72,3.35
456,Wayne Selden,2016,,77.75,82.5,,232.0,7.3,,,
457,Zach Collins,2017,10,84.0,85.0,,232.0,8.9,,,
458,Luke Kennard,2017,12,77.5,77.25,,196.0,6.6,,,
459,Donovan Mitchell,2017,13,75.0,82.0,40.5,211.0,5.9,,11.53,3.01
460,Bam Adebayo,2017,14,81.75,86.75,38.5,243.0,5.2,,11.94,3.24
461,Justin Patton,2017,16,83.25,87.0,30.5,229.0,7.8,,11.8,3.46
462,D.J. Wilson,2017,17,82.5,87.0,,234.0,6.4,,,
463,T.J. Leaf,2017,18,81.75,83.0,34.5,222.0,6.8,,11.55,3.27
464,John Collins,2017,19,81.5,83.25,37.5,225.0,5.4,,11.66,3.27
465,Harry Giles,2017,20,82.5,87.25,32.5,232.0,5.2,,11.08,3.34
466,Terrance Ferguson,2017,21,79.0,80.75,38.0,184.0,5.8,,11.16,3.32
467,Jarrett Allen,2017,22,82.25,89.25,35.5,234.0,7.4,,11.82,3.21
468,OG Anunoby,2017,23,79.75,86.25,,232.0,6.8,,,
469,Tyler Lydon,2017,24,81.5,84.0,33.5,215.0,13.6,,11.68,3.46
470,Kyle Kuzma,2017,27,81.5,84.25,34.0,223.0,9.4,,10.72,3.25
471,Tony Bradley,2017,28,82.75,89.0,27.5,249.0,12.0,,11.79,3.44
472,Derrick White,2017,29,76.5,79.5,36.5,190.0,6.2,,10.84,3.08
473,Frank Jackson,2017,31,75.5,79.5,42.0,202.0,6.7,,10.94,3.14
474,Davon Reed,2017,32,77.5,84.0,36.0,206.0,6.5,,11.37,3.34
475,Wesley Iwundu,2017,33,78.75,85.0,36.0,193.0,4.0,,11.25,3.36
476,Frank Mason,2017,34,72.0,75.25,41.0,189.0,4.3,,11.41,3.18
477,Ivan Rabb,2017,35,82.0,85.5,32.5,220.0,6.8,,12.68,3.35
478,Semi Ojeleye,2017,37,78.75,81.75,40.5,241.0,5.5,,10.58,3.16
479,Jordan Bell,2017,38,80.5,83.75,38.0,224.0,5.4,,10.63,3.21
480,Jawun Evans,2017,39,71.5,77.5,33.5,185.0,9.1,,11.34,3.21
481,Dwayne Bacon,2017,40,78.25,82.0,36.5,222.0,7.9,,11.7,3.22
482,Tyler Dorsey,2017,41,76.5,77.25,36.0,183.0,4.7,,10.55,3.16
483,Thomas Bryant,2017,42,82.75,90.0,33.0,248.0,9.4,,11.42,3.37
484,Damyean Dotson,2017,44,77.5,81.0,38.0,205.0,5.3,,11.18,3.13
485,Dillon Brooks,2017,45,78.0,78.0,37.5,220.0,7.5,,11.14,3.21
486,Ike Anigbogu,2017,47,81.75,90.25,32.5,252.0,5.4,,12.52,3.44
487,Sindarius Thornwell,2017,48,76.75,82.0,30.5,212.0,7.8,,11.48,3.36
488,De'Aaron Fox,2017,5,75.25,78.5,,170.0,4.5,,,
489,Monte Morris,2017,51,74.5,76.0,33.5,175.0,6.9,,11.0,3.19
490,Edmond Sumner,2017,52,77.75,81.0,,176.0,8.3,,,
491,Kadeem Allen,2017,53,74.25,81.25,35.5,192.0,6.4,,11.24,3.15
492,Alec Peters,2017,54,80.75,82.75,,232.0,8.8,,,
493,Nigel Williams-Goss,2017,55,75.0,79.25,34.5,190.0,5.6,,10.42,3.19
494,Andrew Jones,2017,,76.25,78.5,35.0,185.0,4.9,,11.38,3.35
495,Cameron Oliver,2017,,80.25,85.25,39.5,239.0,7.7,,12.17,3.16
496,Chris Boucher,2017,,81.5,88.0,,182.0,5.4,,,
497,Derrick Walton,2017,,72.75,74.5,32.5,189.0,5.8,,11.28,3.29
498,Devin Robinson,2017,,80.25,84.75,41.5,190.0,3.2,,12.85,3.23
499,Eric Mika,2017,,81.75,82.0,32.0,233.0,6.5,,11.71,3.38
500,Hamidou Diallo,2017,,77.0,83.25,44.5,197.0,5.2,,10.88,3.11
501,Isaiah Briscoe,2017,,74.75,81.0,33.5,222.0,11.0,,10.95,3.38
502,Isaiah Hicks,2017,,80.5,84.5,37.0,233.0,7.7,,12.31,3.36
503,Jamel Artis,2017,,78.75,82.0,31.0,213.0,11.9,,11.62,3.44
504,Johnathan Motley,2017,,80.75,88.0,,238.0,,,,
505,Jonathan Jeanne,2017,,86.0,90.5,31.5,207.0,8.7,,12.61,3.36
506,Justin Jackson (Canada),2017,,79.0,87.25,31.5,219.0,8.1,,11.78,3.43
507,Kennedy Meeks,2017,,82.25,85.0,30.5,277.0,11.5,,12.91,3.5
508,Kobi Simmons,2017,,76.5,78.0,38.5,166.0,5.0,,11.15,3.18
509,Moritz Wagner,2017,,83.25,84.0,32.5,231.0,6.7,,12.0,3.35
510,Omer Yurtseven,2017,,83.75,85.0,31.5,248.0,7.6,,12.85,3.45
511,P.J. Dozier,2017,,78.75,83.0,39.0,201.0,6.1,,10.84,3.15
512,Peter Jok,2017,,77.75,80.0,31.0,202.0,11.0,,11.34,3.41
513,Rawle Alkins,2017,,75.75,80.75,40.5,223.0,11.0,,11.99,3.3
514,Sviatoslav Mykhailiuk,2017,,79.5,77.0,33.0,220.0,11.4,,12.4,3.53
515,Thomas Welsh,2017,,84.5,84.0,,254.0,10.9,,,
516,V.J. Beachem,2017,,80.0,82.25,37.0,193.0,6.8,,11.18,3.26